rn,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0015748,BP,GO:0015748,organophosphate ester transport,49/2907,152/18870,1.55736427979813e-07,6.05046135456635e-06,4.83283241987935e-06,ABCB4/PLA2G10/TRPC5/SCARB1/SLC25A24/CETP/ABCC6/ATP11C/ABCC1/KCNN4/APOA5/APOA4/APOC3/SCP2/APOA1/ATP10B/ABCC11/SLC66A2/SLC17A3/ABCC4/APOE/APOC1/ATP8A2/ANO3/MTTP/SLC25A47/PCTP/PRELID3A/ADCY10/ABCG8/ABCA12/SLC25A25/ANO4/APOA2/PLSCR2/ABCA1/PRAP1/ABCA3/MFSD2A/XKR6/SLC25A33/SLC25A42/ATG9B/GLTPD2/ANO9/SLC44A4/ATP10A/APOC2/XKR5,49
GO:0032370,BP,GO:0032370,positive regulation of lipid transport,33/2907,86/18870,1.84193931555491e-07,7.10988575804197e-06,5.67905228700802e-06,PON1/ABCB4/PLA2G10/CETP/LIPG/IL1A/SCP2/APOA1/MYB/SPP1/LRP1/APOE/ATP8A2/ABCA8/TNFRSF11A/ABCA12/PTGES/ACSL1/ABCA5/ABCA1/PRAP1/ABCA3/ERFE/CYP8B1/ENPP7/ANXA2/CYP4F2/RXRA/CYP4A11/ACSL5/NMB/AVPR1B/CES1,33
GO:0044706,BP,GO:0044706,multi-multicellular organism process,63/2907,216/18870,1.87212667746397e-07,7.13707410897029e-06,5.7007691010011e-06,ITGA3/DSG2/TRO/PTHLH/ESR1/ACR/MMP9/DKKL1/AMBP/RLN2/SLC6A4/CALCA/CYP27B1/SLC38A1/STC2/IGFBP2/SLC2A1/SPP1/PTGFR/ACVR1C/NDP/FOSB/PZP/LIF/KLK14/EPO/IDO1/ITGB4/SLC38A2/DSG1/SERPINE2/CYP1A1/SOD1/CRHBP/A1CF/ADRA2A/GJA1/STC1/ACE/TPPP3/CBS/HPGD/ITGA2/GJB2/PRDX3/AVPR1A/TAC3/LGALS9/AR/FOS/HSD11B2/OXTR/LDOC1/PSG9/SLC38A3/HMX3/CLDN4/TEAD4/DDO/DDR1/PSG5/PSG4/ADRA2B,63
GO:0048705,BP,GO:0048705,skeletal system morphogenesis,66/2907,230/18870,1.88439912797411e-07,7.13707410897029e-06,5.7007691010011e-06,CYP26B1/LTF/HOXC8/BARX2/FOXC1/FGFR1/GRHL2/TBX15/SIX4/MTHFD1/BMP7/COMP/DLX5/HOXA3/SFRP4/ZFAND5/HOXB6/NKX3-2/MDFI/GHR/CDX1/HYAL1/PRRX1/PAPPA2/HOXB8/HOXB5/MSX2/MTHFD1L/TBX4/SOX9/SIX1/HOXD9/LAMA5/SOX5/CHAD/TFAP2A/SLC39A1/CSRNP1/CSGALNACT1/MMP14/STC1/CBS/DHRS3/ALPL/FLVCR1/HHIP/GREM1/SHOX2/HOXD4/SIX2/HOXB9/RARG/FOXC2/IRX5/SOX11/DSCAML1/RFLNA/HOXC9/ATG9B/TSKU/TMEM119/INSIG1/HOXC4/FMN1/HOXB7/SCX,66
GO:0006694,BP,GO:0006694,steroid biosynthetic process,56/2907,184/18870,1.88476969616799e-07,7.13707410897029e-06,5.7007691010011e-06,CFTR/OSBPL7/NR1H4/HSD17B6/MSMO1/IDI1/OSBPL3/ABCB11/SLC27A5/APOB/SEC14L2/AQP8/LHB/DKKL1/ERLIN1/SC5D/CYP27B1/BMP5/HMGCS1/HMGCR/IL1A/SCP2/APOA1/AKR1D1/APOE/ERG28/HMGCS2/CYP27A1/BAAT/FDX1/SLC27A2/IGF1R/CYP1A1/SOD1/SRD5A1/CYP39A1/EBP/TM7SF2/G6PD/LSS/CYP3A4/CYP3A7/ATP1A1/STARD4/ACAA2/CYP7A1/ACOX2/FAXDC2/DHCR7/CYP8B1/INSIG1/AKR1C4/CES1/HSD17B8/AKR1B15/SRD5A2,56
GO:0030301,BP,GO:0030301,cholesterol transport,43/2907,128/18870,2.43226989510015e-07,9.15237156124791e-06,7.31049673866578e-06,CFTR/PON1/ABCB4/SYT7/PLA2G10/SCARB1/APOB/CETP/LIPG/APOA5/APOA4/APOC3/SCP2/APOA1/CLU/LRP1/APOE/APOC1/CD36/ABCG5/EGF/ABCA8/ABCG8/ABCA12/ABCA5/APOA2/STARD4/ABCA1/LIPC/SOAT2/ABCA3/PCSK9/CEL/STARD5/CYP8B1/ENPP7/TSKU/ANXA2/RXRA/CES1/APOM/LCAT/APOC2,43
GO:0033700,BP,GO:0033700,phospholipid efflux,11/2907,14/18870,2.63705172693993e-07,9.860925301426e-06,7.8764571317811e-06,APOA5/APOA4/APOC3/APOA1/APOE/APOC1/ABCA12/APOA2/ABCA1/ABCA3/APOC2,11
GO:0019432,BP,GO:0019432,triglyceride biosynthetic process,21/2907,43/18870,2.70871069251044e-07,1.00659727163292e-05,8.04023964955698e-06,DGAT2/SCARB1/PNPLA3/PCK2/LPIN2/MOGAT3/GPLD1/GPAM/MOGAT1/PCK1/C3/RGN/GPAT3/SIK1/THRSP/ACSL1/MOGAT2/MFSD2A/AGMO/GK/PLIN5,21
GO:0006633,BP,GO:0006633,fatty acid biosynthetic process,52/2907,168/18870,2.82914685817415e-07,1.04486331188e-05,8.34589131651115e-06,PDK4/MLXIPL/ALOX5/ACSM2B/PLA2G10/ACACB/GSTP1/SCD/CYP2D6/LIPG/FA2H/MLYCD/ERLIN1/APOA5/APOA4/APOC3/KAT2B/ACADL/PECR/APOC1/ACSBG2/CYP2E1/RGN/ACSS2/FADS2/CYP2C9/CYP2C8/CYP1A1/CYP1A2/ABHD1/SCD5/PTGES/FADS1/CBR1/CYP3A4/ELOVL7/LIPC/AVPR1A/CYP7A1/PLA2G4F/FASN/ELOVL6/FADS6/ACOT4/ALOXE3/ALOX12B/ACSM5/ACSM2A/INSIG1/ASAH2/HSD17B8/APOC2,52
GO:0061041,BP,GO:0061041,regulation of wound healing,44/2907,133/18870,2.90010688357092e-07,1.06449935487146e-05,8.50273506710494e-06,TFPI/ALOX5/F7/SLC12A2/FERMT2/FAP/CPB2/F11/APOH/FERMT1/VTN/KNG1/HRG/PROC/SERPINC1/PLG/PLAU/APOE/F12/APCS/EPHB2/CD36/SERPINE2/DUOX1/DUOX2/ADAMTS18/SERPING1/ADRA2A/UBASH3B/KLKB1/SERPINF2/FGG/FGA/FGB/FOXC2/F2/ANXA2/PROS1/CLDN4/AJAP1/PDGFA/TAFA5/INSL3/EPPK1,44
GO:1903034,BP,GO:1903034,regulation of response to wounding,53/2907,173/18870,3.14566553726907e-07,1.14759249448054e-05,9.1664451471127e-06,TFPI/ALOX5/F7/SLC12A2/FERMT2/FAP/CPB2/F11/APOH/FERMT1/VTN/MDK/KNG1/HRG/PROC/SERPINC1/SPP1/PLG/PLAU/APOE/F12/APCS/EPHB2/CD36/SERPINE2/IL10/IL33/KIAA0319/DUOX1/DUOX2/IGF1R/ADAMTS18/SERPING1/ADRA2A/UBASH3B/KLKB1/SERPINF2/FGG/FGA/FGB/FOXC2/F2/RGMA/ANXA2/PROS1/RTN4RL1/CLDN4/AJAP1/FLNA/PDGFA/TAFA5/INSL3/EPPK1,53
GO:0008210,BP,GO:0008210,estrogen metabolic process,20/2907,40/18870,3.19594855507169e-07,1.15887031545418e-05,9.25652723446601e-06,CYP2D6/UGT2B10/SULT1E1/CHST10/HSD17B4/CYP2C9/CYP2C8/CYP1A1/CYP1A2/UGT2B4/CYP3A4/CYP3A7/UGT2B7/SULT1A1/UGT2B15/UGT2B17/HSD17B8/AKR1B15/UGT1A1/UGT1A3,20
GO:0006637,BP,GO:0006637,acyl-CoA metabolic process,35/2907,96/18870,3.42270157996583e-07,1.2262289552656e-05,9.79455731046004e-06,PDK4/AASS/DGAT2/FAR2/ACSM2B/ACAT1/ACACB/MLYCD/GCDH/AADAT/HMGCS1/ACOT2/GPAM/ACSBG2/ACSS2/HSD17B4/HMGCS2/BAAT/SLC27A2/NUDT7/MMUT/GLYAT/ACSL1/TDO2/ACOT11/ELOVL7/ELOVL6/SUCLG2/ACOT12/ACOT4/PIPOX/ACSM5/ACSM2A/ACOT1/ACSL5,35
GO:0035383,BP,GO:0035383,thioester metabolic process,35/2907,96/18870,3.42270157996583e-07,1.2262289552656e-05,9.79455731046004e-06,PDK4/AASS/DGAT2/FAR2/ACSM2B/ACAT1/ACACB/MLYCD/GCDH/AADAT/HMGCS1/ACOT2/GPAM/ACSBG2/ACSS2/HSD17B4/HMGCS2/BAAT/SLC27A2/NUDT7/MMUT/GLYAT/ACSL1/TDO2/ACOT11/ELOVL7/ELOVL6/SUCLG2/ACOT12/ACOT4/PIPOX/ACSM5/ACSM2A/ACOT1/ACSL5,35
GO:0072006,BP,GO:0072006,nephron development,49/2907,156/18870,3.77548462875889e-07,1.34456693653955e-05,1.0739787101858e-05,SOX8/ITGA3/PROM1/FOXC1/NOTCH3/ACAT1/PAX2/WNT11/SIX4/BMP7/JAG1/SALL1/CALB1/SOX9/HS3ST3B1/PAX8/SIX1/LIF/FOXJ1/LAMA5/WNT2B/EDNRB/SULF1/ENPEP/ADAMTS16/IL6R/NPHS1/KIF26B/KLF15/RET/GREM1/NPNT/COL4A3/IRX2/SIX2/MTSS1/PDGFD/SLC22A1/FOXC2/IRX3/AQP11/TACSTD2/WNT7B/POU3F3/AQP1/FMN1/HOXB7/CD24/HNF1B,49
GO:0009636,BP,GO:0009636,response to toxic substance,71/2907,258/18870,3.90021389383933e-07,1.38076803117401e-05,1.10289449255874e-05,PON1/MGST1/CPS1/GSTP1/MGST2/GSTZ1/DHRS2/BMP7/AQP8/PON3/SLC6A4/APOA4/MTARC2/ABCG2/EPHX2/CAT/SLC17A3/MT1G/MT2A/PRKCG/APOE/ASS1/GCH1/DDC/CD36/BPHL/TTPA/DUOX1/SLC39A8/DUOX2/CYP1A1/SOD1/SLC47A1/EPHX1/SRD5A1/ALAD/PTGES/GLYAT/SLC7A11/SLC6A1/PINK1/ADAMTS13/FABP1/PTPN13/ALB/GPX8/ALDH1A1/PRDX3/MT1E/CDK1/FOS/SLC30A1/NQO1/MTARC1/MT1X/HBA2/ADH4/MT1F/CES1/APOM/MT1H/MT1A/MT1M/GPX3/CERS1/INMT/GSTA1/HBB/HP/SLC6A14/NEFL,71
GO:1901607,BP,GO:1901607,alpha-amino acid biosynthetic process,28/2907,69/18870,3.99195575059706e-07,1.40493360328366e-05,1.12219684877465e-05,AASS/CPS1/OTC/ASNS/PHGDH/MTHFD1/HAO1/AGXT2/CTH/GOT1/GOT2/ASL/ASS1/BHMT2/PSAT1/SDS/GLS2/BHMT/GLUD1/CBS/NAGS/PCBD1/PAH/AGXT/SHMT1/ADI1/GLUD2/PYCR1,28
GO:0006766,BP,GO:0006766,vitamin metabolic process,38/2907,109/18870,4.13102968978879e-07,1.43697387407013e-05,1.1477891549352e-05,GCLC/CYP26B1/CYP24A1/MTHFD2/CYP2W1/CYP26A1/SLC52A3/PNPO/FOLR1/CYP27B1/VNN1/GGCX/SLC2A1/CLYBL/RGN/MMACHC/PSAT1/SLC19A3/CYP27A1/MTHFS/TTPA/MMAB/CYP1A1/GC/MMAA/CBR1/CYP3A4/ALPL/AMN/NNMT/BTD/CYP4F11/SHMT1/NQO1/CYP4F2/CYP4F12/UGT1A3/UGT1A4,38
GO:0019751,BP,GO:0019751,polyol metabolic process,38/2907,109/18870,4.13102968978879e-07,1.43697387407013e-05,1.1477891549352e-05,DGAT2/PCK2/ISYNA1/MOGAT3/GALK1/INPP4B/CYP27B1/GOT1/CD244/NUDT10/MOGAT1/PCK1/SLC34A1/GCH1/ANGPTL3/CYP27A1/PRKG2/SORD/PLPP2/TKFC/QDPR/PTH1R/CYP3A4/IP6K3/PLPP3/SGPP2/GPER1/PCBD1/MOGAT2/DEGS2/SPTLC3/SPHK1/INPP5J/ASAH2/NUDT11/HRH1/AVPR1B/GK,38
GO:1902224,BP,GO:1902224,ketone body metabolic process,9/2907,10/18870,4.16741564928048e-07,1.44125131963267e-05,1.1512057832512e-05,ACAT1/AACS/OXCT1/SLC27A5/TYRP1/ACSS3/HMGCL/HMGCS2/HMGCLL1,9
GO:0097305,BP,GO:0097305,response to alcohol,70/2907,254/18870,4.42718108731411e-07,1.5222887612299e-05,1.21593479349099e-05,CFTR/OSBPL7/PAX6/GRAMD1B/TNC/RAD51/F7/CLDN18/ABCB11/ST6GAL1/ADCY2/HDAC6/SLC10A1/SLC5A5/SCNN1A/GPLD1/RGS4/KLF9/CAT/PTGFR/ITPR2/DBH/PCK1/GOT2/FOSB/CDO1/AANAT/NR0B2/HMGCS2/HTR1B/FDX1/IGF1R/TNFRSF11A/SOD1/SLC6A3/CRHBP/ALAD/LRP8/CDA/ACE/G6PD/CHRNB2/HPGD/SPINK1/ADCY1/ABCA1/FBP1/AVPR1A/CYP7A1/CDK1/FOS/CD14/ADH6/CHRNA7/A2M/GRIN1/CYP8B1/NQO1/SLC2A4/CLDN7/ABAT/GRIN2A/EFNA5/PPARA/BLM/STK39/CES1/GABBR1/UGT1A1/NEFL,70
GO:0006570,BP,GO:0006570,tyrosine metabolic process,12/2907,17/18870,5.05983458077398e-07,1.72988515981547e-05,1.38175332311061e-05,IYD/DCT/GSTZ1/FAH/OCA2/IL4I1/HGD/HPD/PCBD1/PAH/TTC36/TAT,12
GO:0042886,BP,GO:0042886,amide transport,90/2907,354/18870,5.79360018922403e-07,1.96949488250724e-05,1.57314263511227e-05,CFTR/SLC25A13/GIPR/SYT7/NR1H4/ALOX5/SLC38A5/PTPRN/TACR2/CDH17/AACS/RAPGEF4/UPK3A/PCK2/HNF4A/AQP8/AQP9/CLEC4M/STX1A/GHRHR/TFR2/GCK/APBA1/FOLR1/SLC1A2/GPLD1/SLC16A10/KMO/ABCG2/KCNJ8/ACVR1C/SOX4/PAX8/GNAZ/ADORA2A/ANO1/NR0B2/SNAP25/SLC38A2/GRP/IL1RN/RBP4/HADH/MTTP/SLC25A47/SLC14A1/ABCA12/ILDR1/CRHBP/SLC16A2/GLUD1/ADRA2A/FOXO1/SLC7A11/GJA1/SLC16A1/KCNB1/SSTR5/VSNL1/ADORA1/SLC2A2/SLC9B2/SPINK1/GPER1/ABCA1/AVPR1A/TAP1/MYRIP/GPR27/FGG/FGA/FGB/BRSK2/RIMS2/SLC17A8/F2/GLTPD2/SLC25A18/ABAT/BMP8A/FAM3B/EFNA5/PCLO/KCNJ11/SLC38A3/FAM3D/POU3F3/GABBR1/AQP1/HNF1B,90
GO:0042572,BP,GO:0042572,retinol metabolic process,23/2907,52/18870,6.97389269635727e-07,2.35733333346359e-05,1.88293029089872e-05,HSD17B6/DGAT2/CYP2D6/CYP2C18/RDH5/CYP2C8/RBP4/RDH16/CYP1A1/CYP1A2/DHRS4/CYP3A4/CYP3A7/DHRS3/ALDH1A1/SDR16C5/CEL/ADH6/ADH1A/ADH1B/ADH4/AKR1B15/ADH1C,23
GO:0002526,BP,GO:0002526,acute inflammatory response,37/2907,107/18870,7.34726644255517e-07,2.46958961380941e-05,1.97259548487288e-05,ITIH4/CREB3L3/GSTP1/TFR2/VNN1/IL1A/C3/LBP/EPO/ASS1/F12/APCS/EDNRB/TNFRSF11A/AHSG/PTGES/SAA4/IL6R/ADORA1/DNASE1L3/KLKB1/IL31RA/MBL2/SERPINF2/NLRP6/A2M/CD163/F2/F8/ZP3/SERPINA1/C2CD4A/DNASE1/ORM2/ORM1/UGT1A1/HP,37
GO:0072009,BP,GO:0072009,nephron epithelium development,40/2907,120/18870,7.92684721579315e-07,2.64951546883187e-05,2.1163120470274e-05,SOX8/PROM1/FOXC1/ACAT1/PAX2/WNT11/SIX4/JAG1/SALL1/CALB1/SOX9/HS3ST3B1/PAX8/SIX1/LIF/FOXJ1/LAMA5/WNT2B/EDNRB/ADAMTS16/NPHS1/KIF26B/KLF15/GREM1/NPNT/IRX2/SIX2/MTSS1/SLC22A1/FOXC2/IRX3/AQP11/TACSTD2/WNT7B/POU3F3/AQP1/FMN1/HOXB7/CD24/HNF1B,40
GO:0050433,BP,GO:0050433,regulation of catecholamine secretion,24/2907,56/18870,8.14019768508844e-07,2.70571126388245e-05,2.16119868364336e-05,SYT7/SYT13/CHRNA4/STX1A/CXCL12/ADORA2A/SYT5/SYT6/HTR1B/CHRNA6/SYT8/ADRA2A/KCNB1/PINK1/CHRNB2/SYT9/SNCG/CHRNA7/OXTR/ABAT/ADRA2C/GABBR1/SYT3/ADRA2B,24
GO:0097006,BP,GO:0097006,regulation of plasma lipoprotein particle levels,33/2907,91/18870,8.44880756758365e-07,2.79277434678746e-05,2.23074070118231e-05,NR1H4/DGAT2/PLA2G10/SCARB1/APOB/CETP/LIPG/FGF21/APOA5/APOA4/APOC3/GPLD1/APOA1/APOE/APOC1/CD36/MTTP/PCSK6/AGTR1/NCEH1/ABCA5/APOA2/ABCA1/LIPC/SOAT2/MFSD2A/PCSK9/CES3/ANXA2/PLA2G2A/APOM/LCAT/APOC2,33
GO:0042403,BP,GO:0042403,thyroid hormone metabolic process,16/2907,29/18870,8.76117029050204e-07,2.8801143872568e-05,2.30050393978481e-05,IYD/SULT2A1/SLC5A5/HPN/SLC16A10/PAX8/DUOX1/DUOXA1/DUOXA2/DUOX2/SLC16A2/SULT1B1/GCNT4/FOXE1/DIO2/DIO1,16
GO:0006063,BP,GO:0006063,uronic acid metabolic process,15/2907,26/18870,8.92709145298902e-07,2.90276022626268e-05,2.31859240254978e-05,XYLB/UGT2B10/SORD/UGT2B4/CRYL1/DCXR/UGT2B7/UGT2B15/UGT2B17/UGT1A9/UGT1A1/UGT1A8/UGT1A10/UGT1A3/UGT1A4,15
GO:0019585,BP,GO:0019585,glucuronate metabolic process,15/2907,26/18870,8.92709145298902e-07,2.90276022626268e-05,2.31859240254978e-05,XYLB/UGT2B10/SORD/UGT2B4/CRYL1/DCXR/UGT2B7/UGT2B15/UGT2B17/UGT1A9/UGT1A1/UGT1A8/UGT1A10/UGT1A3/UGT1A4,15
GO:0061326,BP,GO:0061326,renal tubule development,36/2907,104/18870,1.00319763972583e-06,3.24439539377278e-05,2.59147498398593e-05,SOX8/PROM1/ACAT1/PAX2/WNT11/SIX4/JAG1/SALL1/CALB1/SOX9/HS3ST3B1/PAX8/SIX1/LIF/LAMA5/WNT2B/PRICKLE1/ADAMTS16/KIF26B/GREM1/NPNT/IRX2/SIX2/MTSS1/SLC22A1/IRX3/AQP11/TACSTD2/COL4A1/WNT7B/POU3F3/AQP1/FMN1/HOXB7/CD24/HNF1B,36
GO:0045471,BP,GO:0045471,response to ethanol,40/2907,121/18870,1.00963581563816e-06,3.24766187363608e-05,2.59408409903636e-05,PAX6/TNC/CLDN18/ABCB11/ST6GAL1/SLC10A1/RGS4/CAT/ITPR2/DBH/GOT2/CDO1/NR0B2/HMGCS2/HTR1B/IGF1R/TNFRSF11A/SOD1/SLC6A3/CRHBP/ALAD/G6PD/CHRNB2/HPGD/SPINK1/CYP7A1/CDK1/FOS/CD14/ADH6/CHRNA7/GRIN1/NQO1/SLC2A4/CLDN7/ABAT/GRIN2A/PPARA/GABBR1/UGT1A1,40
GO:0098739,BP,GO:0098739,import across plasma membrane,60/2907,212/18870,1.1054292615617e-06,3.5367824983549e-05,2.82502046016895e-05,SLC7A2/SLC6A13/SLC38A5/KCNQ1/KCNH2/SLC12A2/ABCC9/ATP1B3/SLC27A5/HCN2/SLC5A1/CACNA1F/AQP8/SLC39A14/SLC1A5/ATP1A3/SLC1A2/SCNN1A/SLC38A1/SLC9A2/RGS4/SLC2A1/SLC8A2/KCNJ8/ATP1B2/SLC34A1/SLC6A6/SLC38A2/CD36/SLC9A5/FXYD2/HCN4/SLC39A8/SLC38A4/SLC7A1/SLC39A5/SLC39A6/SLC47A1/SLC2A5/SLC16A2/SLC43A1/SLC7A11/ACSL1/KCNJ16/SLC28A1/SLC6A1/ATP1A1/TRPV6/KCNK9/SLC30A1/SLC9C1/SLC17A8/SCN5A/KCNJ11/SLC38A3/SLC6A9/SLC39A10/ACSL5/CACNA1E/SLC6A14,60
GO:0032892,BP,GO:0032892,positive regulation of organic acid transport,21/2907,46/18870,1.11769138214066e-06,3.55699337199339e-05,2.84116398371702e-05,SLC12A2/PLA2G10/ABCB11/SLC38A1/IL1A/KMO/ADORA2A/TNFRSF11A/PTGES/ACSL1/SLC6A1/AVPR1A/ERFE/SLC17A8/ABAT/CYP4F2/CYP4A11/SLC38A3/ACSL5/AVPR1B/GABBR1,21
GO:0046470,BP,GO:0046470,phosphatidylcholine metabolic process,29/2907,76/18870,1.14957494625183e-06,3.6391041817062e-05,2.90675035142485e-05,PON1/PLA2G10/SCARB1/CETP/PCYT1B/APOA4/CHPT1/GPLD1/APOA1/RAB38/PLAAT1/SLC44A2/APOC1/PNPLA7/PEMT/PLAAT2/SLC44A3/MBOAT2/LPCAT1/APOA2/CDS1/LIPC/ABCA3/MFSD2A/MBOAT1/LPCAT4/PLA2G2A/SLC44A4/LCAT,29
GO:0048839,BP,GO:0048839,inner ear development,56/2907,194/18870,1.26051720442615e-06,3.9693023337272e-05,3.17049756681149e-05,DLX6/USH1C/USH2A/KCNQ1/MCOLN3/MYO3B/MCM2/PAX2/TGFB2/MYO3A/CECR2/SIX4/JAG1/RPGRIP1L/CALB1/ESRP1/HPN/DLX5/HOXA13/CDH23/LIN7A/PTK7/OTX1/PRRX1/HPCA/SOX9/PAX8/SIX1/ATP8A2/EPHB2/TBX3/HEY2/TFAP2A/LRIG3/SOD1/CCNA2/WNT3A/ADGRV1/BMPER/CTHRC1/GJB2/STOX1/TTC39C/SLC17A8/FZD2/USH1G/TSKU/ROR1/INSIG1/PDZD7/HMX3/MAFB/SLC44A4/CEBPD/STRC/CEBPA,56
GO:0050804,BP,GO:0050804,modulation of chemical synaptic transmission,115/2907,489/18870,1.27449782792926e-06,3.99231440026219e-05,3.18887855541408e-05,MAPK8IP2/SYT7/APBA2/RASGRF1/CAMK2B/NGFR/SLC12A2/TACR2/CACNG4/RIMS1/SCTR/CHRNA3/HDAC6/ITPR3/SYNGR1/CELF4/CBLN1/CALB1/GRIN2D/STX1A/DNM1/APBA1/CPEB3/DKK1/SLC6A4/NMU/P2RX3/ASIC1/CUX2/SLC38A1/HMGCR/DBN1/BCHE/KMO/RGS4/CDC20/CHRNB4/SLC8A2/ADRA1A/GRM4/GRIA3/PRKCG/ADORA2A/APOE/UNC13A/SLC6A6/SNAP25/EPHB2/SLC38A2/HTR1B/EPHA7/SERPINE2/TUBB2B/MYOF/CDH11/CBLN2/CACNG8/SLC4A10/IGSF11/CPLX2/NLGN4X/CHRNA6/ADRA2A/SLC7A11/WNT3A/SLC6A1/LRP8/KCNB1/PPP1R9A/PINK1/ACE/ABR/S100B/CHRNB2/ADORA1/ABHD6/ADCY1/GPER1/NETO1/MAP1A/PRRT2/GRM5/ADRB2/CHRNA5/NLGN1/SLC30A1/ADORA2B/DLGAP1/CALB2/SNCG/CHRNA7/RIMS2/GRIN1/OXTR/CHRM2/GRID1/BEGAIN/GRIN2A/KCNQ3/SEPTIN5/DRD1/SORCS2/NTF3/NRG3/MAPT/ERC2/SHISA6/SLC6A9/HRH1/DLGAP2/GABBR1/GRID2IP/SHISA9/FER1L5/NEFL,115
GO:0006957,BP,GO:0006957,"complement activation, alternative pathway",12/2907,18/18870,1.30389481014112e-06,4.04207391143746e-05,3.22862418218744e-05,CFH/C8B/C5/C7/C9/CR2/C3/CFP/CFHR5/C8A/C8G/CFB,12
GO:0051917,BP,GO:0051917,regulation of fibrinolysis,12/2907,18/18870,1.30389481014112e-06,4.04207391143746e-05,3.22862418218744e-05,FAP/CPB2/F11/APOH/VTN/HRG/PLG/PLAU/F12/KLKB1/SERPINF2/F2,12
GO:0032368,BP,GO:0032368,regulation of lipid transport,47/2907,153/18870,1.31524587213825e-06,4.05624538814595e-05,3.23994371107306e-05,PON1/ABCB4/PLA2G10/CETP/LIPG/APOA4/APOC3/IL1A/SCP2/APOA1/MYB/SPP1/LRP1/APOE/APOC1/ATP8A2/ABCG5/EGF/ABCA8/TNFRSF11A/REN/ABCG8/ABCA12/AGTR1/PTGES/ACSL1/SAR1B/ABCA5/APOA2/ABCA1/PRAP1/ABCA3/PCSK9/ERFE/CYP8B1/ENPP7/ANXA2/CYP4F2/RXRA/PPARA/CYP4A11/ACSL5/NMB/AVPR1B/CES1/DISP3/APOC2,47
GO:0009111,BP,GO:0009111,vitamin catabolic process,10/2907,13/18870,1.35431464333471e-06,4.15531513388287e-05,3.31907610296335e-05,CYP26B1/CYP24A1/CYP2W1/CYP26A1/CYP27B1/MTHFS/CYP3A4/CYP4F11/CYP4F2/CYP4F12,10
GO:0099177,BP,GO:0099177,regulation of trans-synaptic signaling,115/2907,490/18870,1.41736398025053e-06,4.32657586420354e-05,3.45587135893524e-05,MAPK8IP2/SYT7/APBA2/RASGRF1/CAMK2B/NGFR/SLC12A2/TACR2/CACNG4/RIMS1/SCTR/CHRNA3/HDAC6/ITPR3/SYNGR1/CELF4/CBLN1/CALB1/GRIN2D/STX1A/DNM1/APBA1/CPEB3/DKK1/SLC6A4/NMU/P2RX3/ASIC1/CUX2/SLC38A1/HMGCR/DBN1/BCHE/KMO/RGS4/CDC20/CHRNB4/SLC8A2/ADRA1A/GRM4/GRIA3/PRKCG/ADORA2A/APOE/UNC13A/SLC6A6/SNAP25/EPHB2/SLC38A2/HTR1B/EPHA7/SERPINE2/TUBB2B/MYOF/CDH11/CBLN2/CACNG8/SLC4A10/IGSF11/CPLX2/NLGN4X/CHRNA6/ADRA2A/SLC7A11/WNT3A/SLC6A1/LRP8/KCNB1/PPP1R9A/PINK1/ACE/ABR/S100B/CHRNB2/ADORA1/ABHD6/ADCY1/GPER1/NETO1/MAP1A/PRRT2/GRM5/ADRB2/CHRNA5/NLGN1/SLC30A1/ADORA2B/DLGAP1/CALB2/SNCG/CHRNA7/RIMS2/GRIN1/OXTR/CHRM2/GRID1/BEGAIN/GRIN2A/KCNQ3/SEPTIN5/DRD1/SORCS2/NTF3/NRG3/MAPT/ERC2/SHISA6/SLC6A9/HRH1/DLGAP2/GABBR1/GRID2IP/SHISA9/FER1L5/NEFL,115
GO:0045777,BP,GO:0045777,positive regulation of blood pressure,17/2907,33/18870,1.43898081591936e-06,4.3702650871297e-05,3.49076831647015e-05,ADRB1/GLP1R/ID2/ADRA1A/SPX/GRIP2/ACE/ADORA1/AVPR1A/TAC3/OR51E2/ADRA1B/CHRNA7/HSD11B2/OXTR/QRFP/ADRA2B,17
GO:0015844,BP,GO:0015844,monoamine transport,32/2907,89/18870,1.53088419823201e-06,4.62589906970814e-05,3.69495707600921e-05,SYT7/SYT13/CHRNA4/SLC6A2/STX1A/CXCL12/SLC6A4/ADORA2A/SYT5/SYT6/HTR1B/SLC6A3/SLC22A3/CHRNA6/SYT8/ADRA2A/KCNB1/PINK1/CHRNB2/RAB3B/SYT9/SNCG/SLC22A1/CHRNA7/OXTR/MAPK15/ABAT/ADRA2C/DRD1/GABBR1/SYT3/ADRA2B,32
GO:0051591,BP,GO:0051591,response to cAMP,31/2907,85/18870,1.56214228348233e-06,4.69663180003757e-05,3.75145515313926e-05,CFTR/CPS1/KCNQ1/BCKDHB/HCN2/AQP8/AQP9/SLC5A5/ITPR2/PCK1/FOSB/CDO1/AANAT/ASS1/HMGCS2/FDX1/DUOX1/HCN4/DUOX2/SLC6A3/PKLR/REN/SRD5A1/CRHBP/PFKFB1/STC1/FBP1/GPD1/FOS/KCNE1/AQP1,31
